Especie,L_vmt,P_vmt,L_vmtr,P_vmtr,L_fib,P_fib,A_r_m,An_r_m,A_r_u,An_r_u,Lu_ punt,LV,LF,A_crec,Fib,Apo,Para,S_cristal,Rad,Crist
F.durangensis,32.074277,5.2855985,11.818958,2.5638919,10.402913,2.3261621,172.24227,31.439766,173.38623,23.352872,2.357932,337.6994,795.31604,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,51.946499,5.1277837,21.793081,3.8458378,10.402913,3.7619044,204.07057,38.015721,147.41934,18.462066,2.412775,430.9301,1003.8817,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,43.60501,5.1277837,11.608514,3.8458378,13.15876,1.8247917,198.15569,28.120582,143.81464,18.276513,2.5575364,470.14876,524.13321,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,49.995891,3.8458378,24.187707,4.053869,7.3559705,2.5806452,193.45568,35.512494,303.14915,26.881174,2.9160401,465.71271,793.97404,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,51.293859,6.4097297,17.855441,1.8129453,7.7687707,1.9354839,267.51528,31.547993,166.30213,18.462066,2.3159477,461.37439,602.52757,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,48.73081,4.053869,18.665415,3.8458378,12.275031,2.885249,270.08937,32.295426,195.81978,19.884254,2.357932,475.92042,491.64991,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,55.386199,5.838218,35.126477,7.3848265,13.956973,2.5806452,274.19743,28.83867,169.71048,28.720235,1.3040928,526.51534,818.2532,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,66.565927,5.838218,24.071589,5.838218,16.283135,2.0401791,228.10927,31.76334,182.78378,24.071589,1.8619146,414.38189,708.79034,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,45.67263,5.2218609,35.029308,5.2218609,13.716317,3.2258065,191.73903,28.83867,201.10945,21.049994,1.9477617,375.87425,850.87482,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,61.176056,9.4138436,24.071589,7.8327914,15.934308,3.7619044,154.24391,47.285962,240.2056,23.642981,1.5345218,418.70241,503.33448,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,57.499779,7.3848265,23.352872,5.838218,10.67932,1.9354839,193.20885,50.22225,122.7415,18.462066,1.3040928,398.85755,985.615,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,51.82549,5.2218609,23.352872,8.2564871,11.630811,3.2258065,300.257,39.510547,219.31816,29.19109,1.4467611,345.15671,1009.2413,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,46.192075,7.8327914,37.108294,5.838218,10.967742,2.5806452,279.36956,31.439766,237.59467,20.887444,1.8442657,317.90156,768.92864,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,49.05493,5.2218609,28.241531,5.838218,15.006069,2.3261621,203.65258,34.042368,407.38046,31.76334,1.3040928,358.90561,798.22905,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,50.425443,5.2218609,26.881174,7.8327914,13.807055,2.7371875,232.25544,26.239526,295.08135,23.642981,1.143765,344.65271,700.33209,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,45.59794,7.8327914,32.295426,7.8327914,10.814874,3.2258065,185.54147,29.769187,156.74283,20.887444,1.3772755,366.01483,549.41497,FVP,L,Difuso,MA,NO,UBT,N
